Name of Source,Type of Source,Title of Article or Chapter,Author(s),Keywords,200-word Summary,Relevance to Article
Papers in Regional Science,Journal article,The Maximal Covering Location Problem,Richard L. Church; Charles ReVelle,maximal covering; facility location; coverage; accessibility; network design; public service siting,"Canonical facility-location paper introducing the maximal covering location problem (MCLP), which selects a limited number of facilities to maximize covered demand within a service threshold. Although it predates EVs, the logic maps directly onto charging-station planning: with a limited budget, planners maximize coverage of population, trips, or vehicle flows subject to distance or travel-time limits. It is especially useful because many later EV siting papers are variations on covering models, sometimes adding flow, congestion, equity, or stochastic demand. For a national charging network, MCLP provides a baseline conceptual language for coverage, demand points, and service radius, and helps distinguish coverage-oriented design from cost-minimization or capacity-sizing models.","Foundational theory source for explaining why many EV charging problems are coverage problems and for motivating later extensions such as flow-capturing, congestion-aware, and multi-objective models."
Networks and Spatial Economics,Journal article,Location of Alternative-Fuel Stations Using the Flow-Refueling Location Model and Dispersion of Candidate Sites on Arcs,Michael Kuby; Seow Lim,FRLM; flow refueling; corridor charging; network flows; arc siting; alternative fuels; highway planning,"Extends the flow-refueling location model so stations can be placed not only at nodes but also along arcs, which is crucial when limited driving range makes vertex-only siting unrealistic. The model maximizes the amount of origin-destination flow that can complete round trips with refueling opportunities, making it especially relevant for intercity and national highway charging rather than purely urban charging. It is one of the most important bridges from classical location theory to transport-energy infrastructure because it treats charging as a network-feasibility problem rather than just a proximity problem.","Essential for a methodological framework that addresses highways, corridors, or nationwide route continuity; it justifies corridor-flow or OD-based models instead of purely population-based siting."
Springer,Book,"Facility Location: Concepts, Models, Algorithms and Case Studies",Reza Zanjirani Farahani; Masoud Hekmatfar,facility location; optimization; p-median; p-center; covering; network design; algorithms,"Edited volume synthesizing major facility-location models, algorithms, and case studies across sectors. It is not EV-specific, but it gives the mathematical language behind almost every charging-location model used today: covering, median, center, fixed-charge, and multi-objective formulations. For an article on national charging siting, the book is useful because it helps classify EV papers correctly: some minimize user distance, some maximize covered traffic flow, some minimize cost, and others balance multiple criteria such as grid feasibility and equity.",Strong methodological background source for the theoretical section and for explaining why different objective functions lead to different charging-network designs.
European Journal of Operational Research,Review article,Multiple Criteria Facility Location Problems: A Survey,Reza Zanjirani Farahani; Maryam SteadieSeifi; Nasrin Asgari,multi-objective optimization; facility location; criteria weighting; trade-offs; cost; accessibility; sustainability,"Survey of bi-objective, multi-objective, and multi-attribute location problems that catalogs criteria commonly used in such models. Its value for EV charging is that charging infrastructure is rarely optimized on one criterion alone. National planners must simultaneously consider traffic demand, user detour, construction cost, grid capacity, land availability, environmental goals, and sometimes equity. The survey provides a rigorous framework for understanding those trade-offs and for justifying multi-criteria modeling choices.","Useful to support the argument that national EV charging is inherently multi-criteria and that transport, energy, economic, and social dimensions should be modeled together."
Transportation Research Part D: Transport and Environment,Journal article,Optimal Locations of Electric Public Charging Stations Using Real World Vehicle Travel Patterns,Navid Shahraki; Hossein Cai; Min Xu; Mikhail Turkay,travel patterns; public charging; demand estimation; real-world data; EV behavior; infrastructure planning,"Uses real-world vehicle travel patterns to infer charging demand and optimize public charging locations. Instead of assuming stylized or uniform demand, it builds location decisions from observed driving behavior, which is critical for national-scale planning where average-distance assumptions can misrepresent actual mobility. The paper is especially relevant if the article argues for empirical OD or trajectory data rather than purely demographic proxies.",Strong source for a data-driven demand-modeling section; supports using actual travel behavior rather than static population or administrative geography.
Transportation Research Part E: Logistics and Transportation Review,Journal article,The Battery Charging Station Location Problem: Impact of Users’ Range Anxiety and Distance Convenience,Fang Guo; Jun Yang; Jianyi Lu,range anxiety; user behavior; charging convenience; location model; behavioral optimization; demand sensitivity,Explicitly incorporates range anxiety and travel convenience into the charging-station location problem. This is useful because charging infrastructure is not only a technical network-design issue but also a behavioral adoption issue. A nationally optimal network in engineering terms may still fail if users perceive it as too sparse or inconvenient. The paper helps bridge behavioral economics and operations research by showing that psychological constraints can change optimal siting decisions.,"Useful for adding a behavioral dimension, especially if arguing that perceived accessibility and user confidence should be included alongside traffic-flow efficiency."
European Transport Research Review,Journal article,Electric Vehicles Charging Infrastructure Location: A Genetic Algorithm Approach,Dimitrios Efthymiou; Katerina Chrysostomou; Maria Morfoulaki; Georgia Aifantopoulou,genetic algorithm; heuristic optimization; EV infrastructure; metaheuristics; siting; computational methods,"Applies a genetic algorithm to the EV charging infrastructure location problem. National-scale siting can become computationally difficult when candidate sites, demand points, constraints, and objectives all expand. Exact formulations may become expensive or infeasible, and metaheuristics offer a practical alternative. The paper shows how heuristic methods can search large solution spaces and still deliver meaningful planning insights.",Useful in a methods section to justify heuristic or metaheuristic approaches for country-scale charging design.
Transportation Research Procedia,Journal article,Determination of Charging Infrastructure Location for Electric Vehicles,Bálint Csonka; Csaba Csiszár,multicriteria analysis; long-distance travel; urban demand; national roads; site screening; Hungary,"Proposes weighted multicriteria methods for both national roads and urban districts, explicitly distinguishing long-distance travel needs from local demand. It evaluates existing rest areas and strategic points such as border crossings and the capital, which is directly relevant if the article considers candidate-site generation along major roads.","Useful as a practical bridge between theory and policy, supporting a hybrid national framework where highways, border gateways, and urban demand centers are modeled differently."
Energies,Journal article,Planning Minimum Interurban Fast Charging Infrastructure for Electric Vehicles: Methodology and Application to Spain,Antonio Colmenar-Santos; Carlos De Palacio; David Borge-Diez; Oscar Monzón-Alejandro,Spain; interurban charging; fast charging; corridor planning; minimum infrastructure; national case study,"Spain-focused study developing a methodology for planning minimum interurban fast-charging infrastructure. It is valuable because it focuses on long-distance feasibility rather than purely urban convenience and provides an applied national case. It can help benchmark assumptions about spacing, network continuity, and the role of minimum viable coverage in early network deployment.",Essential if the article includes a European or Spanish angle; it provides a concrete national case study and precedent for interurban fast-charging optimization.
Sustainable Cities and Society,Journal article,A Location Model for Electric Vehicle (EV) Public Charging Stations Based on Drivers’ Existing Activities,Long Pan; Enjian Yao; Yang Yang; Rui Zhang,activity-based demand; charging choice; public charging; behavioral modeling; time budgets; urban mobility,"Proposes a location model that aims to preserve drivers’ existing activity patterns rather than forcing travel behavior to adapt to infrastructure. The model simulates charging choice while considering home charging availability, range anxiety, and the energy needs of remaining trips. It shows that charging-network design can be framed as minimizing lifestyle disruption, not merely minimizing distance or cost.",Useful for a behaviorally realistic demand section and for arguing that charging networks should be designed around how people actually move.
